review_id,user_id,business_id,stars
1znRkifb460kOnNpjeBycg,Uwu72w77MPox942_GnCS7g,kjZ7Mk1fvjgFCQxHpEn4hw,3
6mdqMPf-xMzvQ7aBS2CHzw,v7FPnMzdbl6J7U_8H1BWZA,7eQoxWr9RzyCB9IFvqHUPA,1
vQCPfvdh03bMo244cf3zxA,iL_CR-WQnveqrff9LecqAQ,f30-DOoIxvoV9btiDvKMTw,2
UPhZQ5-AL-9ytI6Y7111DA,WeVkkF5L39888IPPlRhNpg,pzB5iL0Q9OYKc0AsEKI06w,5
Wd6PknrgY9PWnawIVNEkZg,k4M43lXJuQMpQW65DTqzIQ,45m_xaD3A1saWNjVDahECQ,1
gr5k1V-aqmiBAyfwy3011w,tU94-C1zpBsfGFvpsJJr2w,wao8YhDY_al99JSrHl3Qow,3
yPWRXKEhhEb25k2dvg8ywA,SRK_sUnvRmMwfexoL_DLQA,2g4ZTD3ePNSbDAvh6qAOKQ,4
HA21MXN1f8VwC7OMF4Nphw,0J9mtVJ4_QGsXYVK8qJzOQ,BxCzy1WOVxOrr_G7V4BIvg,4
1-SNnm1ztSUUkesY25561Q,3nDUQBjKyVor5wV0reJChg,O85iR6k-pDHpRFwXlppdSw,4
f5B1jQM51kLeSrAwtrmHgg,LNPyE5X1K5B_flcTCH9StQ,2weQS-RnoOBhb1KsHKyoSQ,4
VwA1-Yt8XnnmKrKQNSfn_A,IXSTfBSe56Z0RvYg4Cfn2w,xlb4QVFWB9CSPT7qNRn5xA,5
JVrDSC4UjLf7TrhSfIsJXg,3Vd_ATdvvuVVgn_YCpz8fw,DVfCbJhJUDWRlUfrKzaKOA,1
35K2Ph37Raw4KmpkC4JBVg,bpgbVPJcG-wQ4cNBcPPIxw,QMI6A2H1N3SwKU69SiASJA,5
H1hHDMz4gu3LhRtKUzgbOg,fAfGwjh5A_ydd0A4ZdGenw,mdEkl6kDxMrg-n5s6y6Zhw,5
SKU-1wTTcfI4RhbAzz9lUQ,rLl5jjjUK1crVfzbXoQrTA,tCTMmTfqD1PD8_VDOgoB0w,4
3XFsJhoaFej9xA0NzJpRNg,XEHZoTDWjw3w-gcQyYIe4g,NOni-U-epTbgsbu7TNjqmg,4
myZxMnXl67dndIau18OWxA,PVyZXgOkVtnU6966FDFhuw,10tJuB_YkVQWuk4PtoI7iA,4
7X7_suZJ0rq0Wkat3DpeGw,HEvyblFw4I-UsMqgPGYY_Q,9_qI_MCXaxUFfiArlHvGIA,1
CnXRFe6plliFWAucDxlaiw,PD3X7S70zXHeOx1NjeicjQ,aHuGV6FS0j8_1_p9vFeNuA,4
hFefHHrq6p4bTppa0QxU3g,3xORNxbKdd08LUf0tclx3A,mh05Zs-_IhwLrIZHekwEXA,4
LD9MTsIBkn63xsyEcK827g,U4INQZOPSUaj8hMjLlZ3KA,zpoZ6WyQUYff18-z4ZU1mA,5
ZhLcvgvDjVOSOIaaKnkyEQ,Lyj3OLJOGkqnjq2ZApa1lg,_DPJ_PHJnXsuhYhsgBA0Xw,3
SCMxj37o4NV51hG128m2mA,HJj82f-csBI7jjgenwqhvw,AmJ0GFlYCAap-vGYxv-OJQ,3
-Dj2PWydjcUJS8yb-GCjLQ,V7uS5US4oTf-S9u36HJQCQ,P4w7kxvrr4odvXdyQzXIvw,3
hoRu9Zd7nIffEWTqPEii-Q,m5b84-nPPVNLlDtZyVGZ3w,RwRNR4z3kY-4OsFqigY5sw,4
GBh0MQuTvEQ9lw8CDRpVzA,V7uS5US4oTf-S9u36HJQCQ,pCwOCE-cycl6cMEa9O6bZQ,3
rxpwcgieCLMNLgHHT0o4ew,_VMGbmIeK71rQGwOBWt_Kg,td-NOo-k4xhfVmO5X92uAg,5
jWw6xjcPgZKJdcuDfQQEPQ,XJYFjbH-oTmu2dATTqyauQ,2DmTw0k3bcXuHdAyxO_bkw,4
rQtxoFMlLqa7gvcPd31qEQ,SfY0jEFqBkrqq9bVi6P31Q,TA1dpJpodkG2NR7JJLIicQ,4
Xb18nqMngdAsxxJY4R0UvQ,xhlcoVm3FOKcxZ0phkdO6Q,kM4nKAk3-_o4FonerKSgQA,4
