business_id,name,address,city,stars,review_count,category_type
PfOCPjBrlQAnz__NXj9h_w,"""Brick House Tavern + Tap""","""581 Howe Ave""",Cuyahoga Falls,3.5,116,Restaurants
l09JfMeQ6ynYs5MCJtrcmQ,"""Alize Catering""","""2459 Yonge St""",Toronto,3.0,12,Restaurants
Gu-xs3NIQTj3Mj2xYoN2aw,"""Maxim Bakery & Restaurant""","""9665 Bayview Avenue, Unit 1-4""",Richmond Hill,3.5,34,Restaurants
rDMptJYWtnMhpQu_rRXHng,"""McDonald's""","""719 E Thunderbird Rd""",Phoenix,1.0,10,Restaurants
1WBkAuQg81kokZIPMpn9Zg,"""Charr An American Burger Bar""","""777 E Thunderbird Rd, Ste 107""",Phoenix,3.0,232,Restaurants
EJFdWX908N8Yc2XG0Lky8A,"""River Moon Cafe""","""104 43rd St""",Pittsburgh,4.0,5,Restaurants
VXH7zXcZzXlmAVN8GSjGRQ,"""Thai Express""","""4700 Keele Street""",Toronto,3.0,5,Restaurants
F0fEKpTk7gAmuSFI0KW1eQ,"""Cafe Mastrioni""","""4250 S Rainbow Blvd, Ste 1007""",Las Vegas,1.5,3,Restaurants
T5CdfrZWw-uW9Y5L_sddqQ,"""Police Station Pizza""","""7235 Steubenville Pike""",Oakdale,3.0,9,Restaurants
5q6Xh-UcJa78bp6dzyaE7w,"""Duck Donuts""","""1710 Kenilworth Ave, Ste 220""",Charlotte,4.5,373,Restaurants
MTH-AcNyWfsBa9sXp04HcQ,"""Firehouse Subs""","""3420 E Baseline Rd, Ste 101""",Mesa,3.5,82,Restaurants
nigYwB_m1TQ1WosjSWi-Hw,"""Simply Burgers""","""1455 W Elliot Rd""",Gilbert,3.0,5,Restaurants
t8yi2l7pZF43Rlf9_lHdDA,"""Hero Certified Burgers - King & Yonge""","""79A Yonge Street""",Toronto,2.5,29,Restaurants
5GAXZ7gJ81TSR0-Q6AMp_A,"""Via Panini""","""90 Edgeley Boulevard""",Vaughan,4.0,7,Restaurants
ww_MXl-qDLeYdYTZZ9KWbA,"""Pho Linh""","""1156 College Street W""",Toronto,4.0,162,Restaurants
dPxZI9lrKTl5dvFfnb1_Ig,"""Trattoria Italia""","""9905 S Eastern Ave, Ste 140""",Las Vegas,4.5,210,Restaurants
LrYSnxLKarkzeNHqq50r-A,"""Truscott Italian Bakery & Delicatessen""","""2425 Truscott Dr""",Mississauga,4.0,22,Restaurants
RAUI7uwpMP6dlcHXkavwHg,"""Smashburger""","""5215 W Baseline Rd""",Laveen,3.0,23,Restaurants
irYAkavSVtIEyGOsHK-yPw,"""Palette""","""1625 N Central Ave""",Phoenix,3.5,43,Restaurants
mFE7N0p3f_7vcMTUy76ifw,"""Village Inn""","""2780 E Germann Rd""",Chandler,3.5,49,Restaurants
VGRn5KgYKMkqdIKtBUzQQA,"""Wahlburgers""","""2105 Ontario St""",Cleveland,3.0,100,Restaurants
3N5bwNdig7uRddd3kozENA,"""Popeyes Louisiana Kitchen""","""589 Yonge Street""",Toronto,2.5,17,Restaurants
W8GVfGILy7an385lZSEvSw,"""Burger King""","""1736 Las Vegas Blvd S""",Las Vegas,2.0,18,Restaurants
OvbLKXkJCg8ZMHX9L5faIA,"""Bread Meats Bread""","""92 Lothian Road""",Edinburgh,4.0,28,Restaurants
75RP4HSsSJOe_e7e2e3jQQ,"""Rise & Shine - A Steak & Egg Place""","""75 S Valle Verde Dr""",Henderson,4.0,29,Restaurants
2cfzQGANxuIGcCUrlwnV7w,"""Popeyes Louisiana Kitchen""","""3420 William Penn Hwy""",Pittsburgh,2.0,18,Restaurants
1Nq7GxjvEDgAJxBeOjR_9Q,"""Burrito Express""","""450 N Alma School R""",Mesa,2.5,92,Restaurants
T1U7Te9Ulv2Qqfzna4JuYA,"""Tucker's Marketplace Restaurant""","""5067 Dixie Rd""",Mississauga,3.5,3,Restaurants
yHCoJZh5nx0Onr5xgMaUHg,"""Galleria Supermarket""","""865 York Mills Road""",Toronto,4.0,92,Restaurants
5bGFrGqzooCchYXXorGL7w,"""Goen Yakiniku""","""328 Highway 7 E, Unit 8""",Richmond Hill,2.5,6,Restaurants
-Ut87cwGFsO3444Rd11p0Q,"""Federico's Mexican Food""","""13132 W Camelback Rd""",Litchfield Park,3.5,63,Restaurants
VaFRggkuU-gZDMbnvAZOtg,"""Piazza Bistro""","""94 George Street""",Oakville,4.0,7,Restaurants
KENynjpbyq33DjGWXOip2Q,"""Pizza Nova""","""3928 Keele Street""",Toronto,4.5,5,Restaurants
OlGImeovM5U14T5q5DnVSg,"""Big Wa""","""990 E Riggs Rd""",Chandler,3.0,4,Restaurants
0s0Xthk1JWrBUu74M81Xyg,"""The Good Egg - Val Vista""","""1939 S Val Vista Dr""",Mesa,4.0,109,Restaurants
pUihHVilZtpZz4FApnOvtA,"""Mr Combo""","""568 Sheppard Avenue W""",North York,4.0,14,Restaurants
z-5YXiSmZchuoANnqfp1vg,"""Pi-Tom's Thai Cuisine""","""235 Jarvis Street""",Toronto,3.5,13,Restaurants
EEePiBwchl-TIBVcTdE0RA,"""McDonald's""","""Excalibur Food Court, 3850 Las Vegas Blvd S""",Las Vegas,2.0,26,Restaurants
ziEGXxNH55x7CMi0eAouKg,"""Little Tibet Restaurant""","""712 Queen St W""",Toronto,4.0,3,Restaurants
KhWl4Mwhm_Oqq0zIIz-0wQ,"""Carnival World & Seafood Buffet""","""3700 W Flamingo Rd""",Las Vegas,2.5,508,Restaurants
-DtaPJJ-beogNkDKusGhlA,"""Toro Sushi""","""8515 McCowan Road""",Markham,3.5,36,Restaurants
ljuYsa-fVptTin3158qZHQ,"""Pizza Pizza""","""707 Lakeshore Road E""",Mississauga,2.5,3,Restaurants
OQtldLhTbdyRRYSdA5rxRw,"""The Bier Markt""","""55 City Centre Dr""",Mississauga,3.0,105,Restaurants
mI5UYpuYxjiumMLgANoa9A,"""Filiberto's Mexican Food""","""3636 E. Baseline Rd""",Mesa,2.5,70,Restaurants
gwYt_q3Ob7aQJIefIBsZiQ,"""Raising Cane's""","""7135 S Rainbow Blvd""",Las Vegas,4.0,264,Restaurants
M9fOuiesoUSaouOqNQ3U2w,"""Wong's Place""","""1825 E Baseline Rd.""",Tempe,4.0,149,Restaurants
bAdwf-n52f46-ZjlfJ1Hwg,"""Roberto's Taco Shop""","""7251 W Azure Dr""",Las Vegas,2.5,26,Restaurants
2WiuLnyR8UWXjYQKgKBjkg,"""Narula's""","""6435 Dixie Road, Suite 10""",Mississauga,3.5,15,Restaurants
v0KawuAO7clhXCDKobFs0g,"""Currito - Burritos Without Borders""","""Pittsburgh International Airport""",Pittsburgh,3.0,71,Restaurants
