user_id,name,list_friends
keLUgL_4y60BkppiAsIk8Q,Hazel,"['JesJ-LaNfr3pKhL7gWhDrw', 'bJTKxBIvb_AR8d4SuLPV8g', 'eY6TPklHTeOaQt9F8a_SGQ', 'z6gseuVl0cR7tRLQa_DXuQ', 'XNbrAATnVNAg1eTjMjn-pA', 'orh0HRUNCWuQMt9Iia_osg', 'WXlxViTwXHPBvhioljN9PQ', 'Omhu17Pu7pGbO7KjbYLj1A', 'ic-tyi1jElL_umxZVh8KNA', '4bxhIKz9ePWqD93UkEjnbg', 'OZWskTOKCWvYejhu63gFmQ', 'Kj9cFO70zZOQorN0mgeLWA', 'O3q-nwYZykMmacxjru01Zg', 'X-VOe5bzT9EJu_L_Bt0nLQ', 'clmrlflES5HrXS-gl_YmrQ', 'CxDOIDnH8gp9KXzpBHJYXw', '4KbUaerUBoiUwZGMHKVFxQ', 'XbiKsujS_qxU3xsr0xUqmQ', 'm7z-tX6XDZ27xGhGjnI21w', 'Qx8WMsFNHBfx6rIH_G0nBw', 'GQ8l3o7-_jL0WNHUkNlhJA', 'pn_flI3EBNugBEYFp9okxQ', 'e0AUdCu-jeOkLImiEzlTDg', '8HCEPF0IflyB690Q745fKg', 'zCnJQKvZgET4llBbJD1aiw', 'Wu0yySWcHQ5tZ_59HNiamg', 'yeX7tzZZWCnphQifRJglUg', '0gtEsazPeHr5rj2IAsZePg', 'ukp5bUGNcvl2OWU5CPG7fw', '0J9mtVJ4_QGsXYVK8qJzOQ', 'yK6wyLZ2I66B5-MJcS88xg', 'aomkMAGFrL-gD6cqQjB4bw', 'mrru6hbeQLvagU4vkfuqmw', 'Z09rco1enQXNCd9H0u7kvg', 'F-XkGoU9tZxZLdGI6JAtZw', 'PGeiszoVusiv0wTHVdWklA', 'pJYRi9MB06aiuL-w8Ms-Og', 'f1-ADSATZKZRdKznOcIpOQ', 'S10Q9h_W-MKyog8IdcCNCQ', 'C7lXOTSLUAHG3gkG_Q_39w', 'aX6_Pf3njB-H3FrqgnNJ2g', '4Urg4tXL_m6nYsOt34mAeQ', '2e5V6M4GNufEnbGJpVdCjw', 'NzlqN1Ca9SW5z780thoiAg', 'gSO_NFz9zJaddMbldkfOfw', '7_RaCe5zzPBYWm9znlffUA', 'EgotOxec2MuH4xvIv_KRIA', 'fkMiipV4j_DG5nSoBnZvbg', 'UXpTrzITc0yg08sXftsa-w', '26WgdHfEjWj4BrN-cUNhVw', 'jlu4CztcSxrKx56ba1a5AQ', 'X4cwQL_JZZnAUyCbOwz3pw', 'JrXC_MDp38BWwLn2SFdNsA', 'hTZb1INhnCG8URaFywVoYQ', 'sWKaLjpYG6VABf23CXDhyA', 'Ao-6FYE29-I8WwPg67806A', 't2O6rs4fZeY9o6ZY52RyJA', 'tU94-C1zpBsfGFvpsJJr2w', 'Q9mA60HnY87C1TW5kjAZ6Q', '0l3x4EgoWVYdla3CPpAKag', 'U5YQX_vMl_xQy8EQDqlNQQ', 'jwctwzboGhQmtC50Juxa9A', 'CSA-YFyZWlxPTeAZRJqMWA', 'hFvLG_m26hYMx1UGQSpaEg', 'Nvpx9fUIAB3oddqgRLEPfg', 'nyl_1VcRIAyI55bb_scpdw', 'CQ67NJigSe5-uBDX3b_CUw', 'y05H_1uQhO4frLTJ5_tGCQ', 'Hci2c0qo98CO-Pv-VmV7gg', 'YBT3EKUNN4IP8m4x7sGu1g', '65yB0ydGXOZ_-T6J_GbKfw', 'AVVEFYHmFUa9oUhy2DIQFA', 'tjTrsF-CpDnTcclX-3sCTw', 'pvwEROiu2kfTqyp6cG2HIA', 'm5b84-nPPVNLlDtZyVGZ3w', 'BeoFmNoFuz-h8uso-J2_lg', 'mOVyk3O18VY5nrUMTZgM1w', 'eRDWzHCldd6YXypRECvHYg', 'WeVkkF5L39888IPPlRhNpg', 'nDQEwuw5u6iQHYXEsQXsxg', 'yzwOcVyWuXQpmDlPXWw0Mw', 'A-IkCqnYosZa49XD9qiSww', 'EiP1OFgs-XGcKZux0OKWIA', '7RCz4Ln_FaTvNrdwe251Dg', 'KBh4r16e9Grc1HI9pG4wTg']"
AVVEFYHmFUa9oUhy2DIQFA,Andrea,"['JesJ-LaNfr3pKhL7gWhDrw', 'tjTrsF-CpDnTcclX-3sCTw', '1fNQRju9gmoCEvbPQBSo7w', 'tU94-C1zpBsfGFvpsJJr2w', 'keLUgL_4y60BkppiAsIk8Q', 'eY6TPklHTeOaQt9F8a_SGQ', 'f1-ADSATZKZRdKznOcIpOQ', 'jlu4CztcSxrKx56ba1a5AQ', 'WeVkkF5L39888IPPlRhNpg', 'CQ67NJigSe5-uBDX3b_CUw']"
_5keMAmic7zzrnM5mVefBw,Laurie,['E43QxgV87Ij6KxMCHcijKw']
5V8eXkTJb6IejJkMDaj_Bw,Tonia,"['dIIKEfOgo0KqUfGQvGikPg', 'KGsXnYHvYddGaL_jyl0DMQ', 'RBZ_kMjowV0t6_nv2UKaDQ', 'Rzf35jKV8e8EJdssrae_AA', 'X0X3hiKv5CigUec1XYi_pg', 'rA97zeqOrUYuEM69n0Xn4w', 'iL_CR-WQnveqrff9LecqAQ', 'UmXzwFM2OkZHWJ5cJZlqkg', 'U2sN2-HGvh27FyXKFlvkBg', 'W9MPolPlUiUEXYfGnYiHEQ', 'pu_AQig2fw40PshvtgONPQ', 'tJ1qdNdG0tZywbgH9uw9qw', 'Z128ihQea7BLPh2T9q9sKA', '6rGVoAI0Bl8ZEbMNJWOK3w', '04J_q_VhSBItxNiEAN-gkA']"
CqkdpG2tkCPQA69umlAHsA,Eleanor,"['Cy1PV2TdYeDFA16mUOlr3Q', 'QJI9OSEn6ujRCtrX06vs1w', 'xXQTdJXPGOP-NUYctcQw8g', 'yfXqZkU5iXE07GSHzdsQBA', 'nhVvcPyRGLw466qHVbUjrA', 'UvIb5v3biEgcxWKnxf0ocg', '5iRCT4uAsyP1UoEUoxbylA']"
oPVY6-CJt2EI335lKWwxmg,Shannon,"['0J9mtVJ4_QGsXYVK8qJzOQ', '4KbUaerUBoiUwZGMHKVFxQ', 'Kj9cFO70zZOQorN0mgeLWA', '_t3BJzyGaqr9mcDazYiYAQ', 'VnKj044Tt5doqaVDIJbWsw', '4bxhIKz9ePWqD93UkEjnbg', 'Q9mA60HnY87C1TW5kjAZ6Q', 'rGd8YUtvhSdMm8-9cMdQ4Q']"
YMgZqBUAddmFErxLtCfK_w,Samantha,"['OLn8EvPsu4hNug8V5PF2jA', '-xDW3gYiYaoeVASXywTPgw', 'Hi10sGSZNxQH3NLyWSZ1oA', 'n86B7IkbU20AkxlFX_5aew', '0FMte0z-repSVWSJ_BaQTg', 'z8wN6EQuw_JF-zTjcNgsLw', 'QJMOgjRYeogK43kyfX6PKw', 'QJI9OSEn6ujRCtrX06vs1w', 'DoRCeCcJbrsM2BiAKj3trA', 'rPRy7N3WCD3sVCrF60OOnA', 'LNPyE5X1K5B_flcTCH9StQ', 'Nhk0jTP2gkU12G4LHJVR3A', 'RQlnSCjuqMnhR3Qk6j4KoA', 'A5A34ixb-yy6nwL42iZsnw', 'WaAOt_eG0_-yLpG3fI--3g', 'XXKjsdglgwSs9kWtK6ZWUQ', '135DbbQnr3BEkQbBzZ9T1A', 'zFYs8gSUYDvXkb6O7YkRkw', 's2o_JsABvrZVm_T03qrBUw', 'qewG3X2O4X6JKskxyyqFwQ', 'kmE8w5Y785eZmodsx0V6Ag', 'akEFRm7rqlxIANKyTlaTOg', 'eOIMO2wT_WbNqmavhnCRxw', 'D43OWyfzIQjL8feJpYh2SQ', 'zH6racrZ7rUqqv_Qy6dZDQ', 'bLbSNkLggFnqwNNzzq-Ijw', 'H3wPBzQCKCKiHcV7GZK4kg', 'wc4XAA5pC3b1UgooSypHwA', 'XLNaiWF21OsAf0fMV6kuSg', 'B1829_hxXSEpDPEDJtYeIw', 'owlUazXSDLaxlOV7z8181g', 'JQIZhoQB-Tg9hdBEj90m4g', 'cAY_gYiIq68RkWhLennaKw', 'QCtHk02W_Asu2LFfdmGQDA', 'UvY0E6Wuhv_0Bita52RPOw', '8XKSiMpMxgdwI3qjuqmXFg', 'N044aCKJv3G5WuvwT5AJcA', '48vRThjhuhiSQINQ2KV8Sw', '3CMiTAhq_o_GP1tLs-ihbg', 'lT49-Xggq_VAB2E9dce0yA', 'xhhE0txKwQtRzgQVVdKkvg', 'Ryxj0u0AW3mRsRypdYli2A', '8DEyKVyplnOcSKx39vatbg', 'EXKDLuYoZUKUNNNYA7TlGQ', 'keBv05MsMFBd0Hu98vXThQ', 'vxR_YV0atFxIxfOnF9uHjQ', 'uEvusDwoSymbJJ0auR3muQ', 'UYcmGbelzRa0Q6JqzLoguw', 'T5KBc5QbwZ-Oj9ApE4vZJA', 'rt3PC7WCgCKsoufmQJELfw', 'pxzs-Dy2hXTis-PuNCV37Q', 'u_wqt9RshdZsoj8ikLqoEQ', 'PomQayG1WhMxeSl1zohAUA', '3nDUQBjKyVor5wV0reJChg', 'PKEzKWv_FktMm2mGPjwd0Q', 'u90s9wJ9pMK2FMpy5F8Wpg', 'wnO99pBbGqwqOoTQM25iCw', 'CDvhiRiczAq0M5pktyiyog', 'Ae4uXwFHp-5fGrt6OONaXw', 'i_DR3vdE73nVm2GlMbGpGA', 'Kp5KHBSmV-Htc9NeSjJfPA', 'm-BZLIIh5PCAKnzH0qj_0Q', 'Lfv4hefW1VbvaC2gatTFWA', 'wOSHvuJEJflUEesNLno51A', 'aD263WOD4RShoqgvVhcKqQ', 'kzRq4H_nSf4b3F_sdymWSw', 'bnKo6L4MgcUbLZH7fmnkrA', 'vWP8-aQX0rYJszqkWVL7Ew', 'BQkC6RneYfvfG6wRe0hsvQ', '0o8HUzggoNKay9-ZMj3HqQ', 'VigsAph76fP7pechJ743EA', 'cJh4F1zFNJb2wXCNT1uNWQ', '1dWLN4Mr4hKhu8MQUCKqXQ', '1O638BDK_fWuxgTVJwff-A', 'U-nR7ND8CDN2x8ia73CH2Q', 'HK-TlD0yVA_tpTXZxfzu2w', 'YwaKGmRNnSa3R3N4Hf9jLw', 'eZfHm0qI8A_HfvXScwIYsg', 'njUgJcn8ZN0BdZdNEswRwA', 'O_GWZZfQx7qv-n-CN7hsIA', '3nIuSCZk5f_2WWYMLN7h3w', 'zpwWpno3U-oZaG3AJuKqSQ', 'eZZyuJDouIg4p-GYB3PV_A', '8QKrhvVqhEkD8xo4E4s0GQ', 'deL6e_z9xqZTIODKqnvRXQ', 'AuvaQaRHBowFaFtoEMqkVg']"
EJ7ZhRHsMWj8du77LX34gw,Irene,"['l-B4axUNxQ9FVVxeQm8t2A', '6jz_Yr6_AP2WWLbj9gGDpA', 'WwW0bh9cXtyl4ruIKjlAqg', 'DquHHYio5bIqZ5vQlC95_w', 'gH3JDpHQfVcMEGaAaCJPjA', 'lU_aNRWw8edBmIi5_NARmg', 'asL1d04xS3y8YQtU5ota-g', 'SCo1UBoeN3bhRMkSYuiX1A', '9uE0smG2bwgkI95RPj0lPQ', 'nWh05uXTfV-L7s3iZon4Fg', 'Tsm8VraTp5OGyVALtUiCeQ', 'V7B4KTBitlBs9YH_B00-9Q', 'quH7oYf3C-_klKjP-cklCQ', 'GSvZ1ZJmVqQA9O2NVfO1TQ', 'KTK_ws8lu_TWfR7DtDWjMA', 'YfvMjY-G6y86Ov2tS5Txww', '5FAD2Yq7DLBQ_-ef1iDA-A', 'PeLGa5vUR8_mcsn-fn42Jg', 'jyz8-hAPGRjurBVp9DST9A', 'ACwN3HGetqPVhAgGKzdnsA', 'V-BbqKqO8anwplGRx9Q5aQ', 'XEHZoTDWjw3w-gcQyYIe4g', 'QJI9OSEn6ujRCtrX06vs1w', 'eAJ3Ip0vh-zuk_BmcmchYA', 'iN7T3vQoC3v_MPs2TzH5Zw', 'e6iCOIhtupBCiw-VwBvJ4A', 'DK57YibC5ShBmqQl97CKog', 'Z128ihQea7BLPh2T9q9sKA', 'YpGt3hdq5adPlEFn9fQ2Zw', '8959F5stCzJWI_I7dgxurg', 'A0j21z2Q1HGic7jW6e9h7A', 'oUst55rUuv2nKEQ0FgJ5GQ', '92e_B3VDY5TqxVYsKuNzKg', 'dIIKEfOgo0KqUfGQvGikPg', 'Rzf35jKV8e8EJdssrae_AA', 'UkLiM2r9UcVXdx81JPGZyg', 'zFYs8gSUYDvXkb6O7YkRkw', 'SCPgLdL2hoeP3Plnc0dkzg', 'G-_KF_Ul4d3WGEa-G0Iq4g', 'UG4EKu13JRwzRix6ESINdg', 'XJYFjbH-oTmu2dATTqyauQ', 'TVkU2gHhe05v_lgsE_NccA', 'kzRq4H_nSf4b3F_sdymWSw', 'B7AjB8W2BWJtXPjweJs9pw', '3R_dB9VQ_D3WPJEw7pmorA', 'tCbEkK11lnqeaNVkhlurrQ', 'DHQWSHz6b7Jsy-A04m1cIA', 'LNPyE5X1K5B_flcTCH9StQ', '2U5VJvQ17FtB0wAmpaMowA', 'yrGIgk5eaWy-eewLNv4KHQ', 'eA8WqJj_15lWURDwE6DsKQ', 'MPGqUhAsmVEHq9k9X6VZKw', '6HM3Hm3gP0MJ8XN7IkRcRg', '8UPTxp6SXvQe6JoEbEGcyA', 'Fv0e9RIV9jw5TX3ctA1WbA', '7GVA958q4zs5Z8cdHauU5Q', '0mKUbIUXOvH0cHcGQ1KGqg', 'RBZ_kMjowV0t6_nv2UKaDQ', 'PcvbBOCOcs6_suRDH7TSTg', 'NfU0zDaTMEQ4-X9dbQWd9A', 'XMy-OTpVY8O1L-8w1zOKcw', '04J_q_VhSBItxNiEAN-gkA', 'MMf0LhEk5tGa1LvN7zcDnA', '8SgjU2fID9VqKQooFt1DIQ', 'pwQ8E-hbDUJe3qtKt_IBBg', 'EXKDLuYoZUKUNNNYA7TlGQ', 'zOxFYwqq8Iwhsqm_jm016A', '1fPiKjZhkGWLya1QLkwlhQ', '7sNE58P4AvsX6QHE8ypCiA', 'aKhv49qQ1A1MDvGZ-cVh7Q', '3uPAF2-YwiTUN5NvVH6pIQ', 'iDlkZO2iILS8Jwfdy7DP9A', 'rMsB82tk9uOB6JumPMgczg', 'cty-VP-wvpUbsa-nPGc1CA', 'M9rRM6Eo5YbKLKMG5QiIPA', 'aD263WOD4RShoqgvVhcKqQ', 'oWd7wL340Z9JiGf5Wu_bSQ', 'u0JoB0Vm1ZhwF8nysxPnfg', 'UYcmGbelzRa0Q6JqzLoguw', 'DzyBToexbfik0zt7ppky-Q', 'bpgbVPJcG-wQ4cNBcPPIxw', 'NsegE9Mqm3GCQeSx0v0tYw', 'O_GWZZfQx7qv-n-CN7hsIA', 'kjeX2RXvW7RhBbD2QLd5jA', 'gIWzYF7HQ8FPhPZ8e1xhuA', '7nI_9eRz1YKnaA0AYTLiBw', 'lOBObjsCtw_eiyN7T_B75w', 'ocB1WhramMTkICc5sZ1bUQ', 'QuZbJquRtbY9O9JrB9NpxQ', '_jjbwHWLFA5GjWFWGLj4ZQ', '6rGVoAI0Bl8ZEbMNJWOK3w', 'S0YQ47x5g8SfZe87KGvsJw', 'sTcYq6goD1Fa2WS9MSkSvQ', 'NWuFF7-HjYE9dvt_xGbEhw', '24AzZDQKHySwMQR7VQVCAg', 'd_TBs6J3twMy9GChqUEXkg', 'WJKocp9RE0KatUwh3_DkGg', 'ctXFXk9-m6PCMoI-Nz2_XQ', 'dEk7mXM4npuDPmxrwPcEgQ', '1l_O3VEl9TV_JjKAzzyz0Q', 'xceJT1G2Yhel3W2lRxRTDA', 'CjhTdmN6qWEKC7Zo6qadow', 'T8LqkYbwMPZmvXSsUfN8sQ', 'U4INQZOPSUaj8hMjLlZ3KA', '18qEoFOVEernpVLh97PQPQ']"
2U5VJvQ17FtB0wAmpaMowA,Lauren,"['5UYjT5YDKSuApFax2t2eqg', 'EJ7ZhRHsMWj8du77LX34gw', 'PeLGa5vUR8_mcsn-fn42Jg', '5FAD2Yq7DLBQ_-ef1iDA-A', 'V7B4KTBitlBs9YH_B00-9Q', 'RBZ_kMjowV0t6_nv2UKaDQ', 'MMf0LhEk5tGa1LvN7zcDnA', '04J_q_VhSBItxNiEAN-gkA', 'O_GWZZfQx7qv-n-CN7hsIA', '3uPAF2-YwiTUN5NvVH6pIQ', '1fPiKjZhkGWLya1QLkwlhQ']"
7_RaCe5zzPBYWm9znlffUA,Joyce,"['hTZb1INhnCG8URaFywVoYQ', 'J56C7Dc9E7Q0mpMTJGW6Qw', 'pMefTWo6gMdx8WhYSA2u3w', 'Hi10sGSZNxQH3NLyWSZ1oA', 'V4TPbscN8JsFbEFiwOVBKw', 'bJTKxBIvb_AR8d4SuLPV8g', 'WXlxViTwXHPBvhioljN9PQ', 'L8GB1sEXJrVfR-UsDRjI-g', '8HCEPF0IflyB690Q745fKg', 'Gf8Jew6GZHKCk2F6kPZh5Q', 'jlu4CztcSxrKx56ba1a5AQ', 'mrru6hbeQLvagU4vkfuqmw', 'tU94-C1zpBsfGFvpsJJr2w', 'Q9mA60HnY87C1TW5kjAZ6Q', 'i7mBC7m7k2FLrdVUx0UqUg', 'uHZr3XbjKvRTwdXLXrFuvg', 'keLUgL_4y60BkppiAsIk8Q', 'S10Q9h_W-MKyog8IdcCNCQ', 'C7lXOTSLUAHG3gkG_Q_39w', 'CxDOIDnH8gp9KXzpBHJYXw', 'JesJ-LaNfr3pKhL7gWhDrw', 'Jt1zgNmwz_jheOSmEsljPQ', '0J9mtVJ4_QGsXYVK8qJzOQ', 'zCnJQKvZgET4llBbJD1aiw', 'tjTrsF-CpDnTcclX-3sCTw', 'mOVyk3O18VY5nrUMTZgM1w', 'eRDWzHCldd6YXypRECvHYg', 'wskTNZjwiqMJOvM_-XAQZw', 'CQ67NJigSe5-uBDX3b_CUw', 'J3ucveGKKJDvtuCNnb_x0g', 'WeVkkF5L39888IPPlRhNpg']"
